,No.,Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
0,1,A,1.04,2.91,0.69%,-5.93%,-12.65%,-24.42%,7.65%,46.91,121.13,-0.08%,-0.89%,0.82%,3939930
1,2,AAL,1.54,0.43,9.44%,15.74%,14.99%,-6.58%,41.44%,72.4,16.48,-1.02%,-0.96%,-0.06%,22625167
2,3,AAPL,1.28,2.8,3.68%,7.54%,20.82%,-0.86%,48.92%,69.89,184.92,-0.59%,-1.11%,0.53%,95747006
3,4,ABBV,0.54,2.68,0.07%,-6.54%,-7.88%,-17.53%,5.75%,44.51,138.64,2.02%,1.42%,0.60%,14593437
4,5,ABC,0.54,3.02,5.12%,7.34%,14.74%,0.44%,35.42%,73.86,183.01,0.62%,0.28%,0.34%,2000327
5,6,ABEV,1.11,0.07,4.66%,6.41%,9.65%,-4.63%,28.75%,63.46,3.09,-1.28%,-0.32%,-0.96%,20356797
6,7,ABNB,-,4.49,12.63%,12.00%,16.69%,-11.03%,57.10%,68.83,128.68,0.65%,-0.01%,0.66%,6883826
7,8,ABT,0.66,1.65,2.45%,-0.35%,1.30%,-8.20%,13.89%,56.63,106.2,1.12%,0.72%,0.40%,10012623
8,9,ACGL,0.72,1.39,-0.62%,-1.87%,14.76%,-9.12%,73.35%,47.2,71.16,1.44%,0.62%,0.81%,3296161
9,10,ACGLN,-,0.34,-1.75%,-0.15%,3.22%,-10.16%,15.33%,45.76,19.63,-0.10%,-0.05%,-0.05%,28769
10,11,ACI,-,0.26,4.17%,3.51%,3.81%,-5.67%,16.92%,69.7,21.37,0.61%,0.56%,0.05%,13976210
11,12,ACM,1.30,1.56,7.14%,6.63%,7.21%,-5.96%,42.69%,71.93,86.67,0.42%,-0.18%,0.60%,2080228
12,13,ACN,1.23,6.55,5.21%,11.17%,14.94%,-1.70%,31.61%,68.82,319.54,-1.31%,-1.96%,0.66%,5259178
13,14,ADBE,1.32,16.3,17.23%,27.85%,41.66%,-0.00%,80.24%,82.05,495.18,0.87%,-4.50%,5.62%,13324076
14,15,ADI,1.14,4.79,2.97%,2.33%,10.97%,-4.99%,41.11%,56.46,188.36,-0.69%,-1.78%,1.12%,6886920
15,16,ADM,0.81,1.65,3.73%,-0.51%,-10.16%,-23.20%,7.95%,56.63,75.48,1.23%,0.77%,0.46%,5522403
16,17,ADP,0.81,3.56,2.85%,2.87%,-3.91%,-19.50%,12.57%,59.86,221.32,0.16%,-0.44%,0.60%,3335514
17,18,ADSK,1.54,6.43,4.75%,7.61%,5.97%,-9.15%,30.82%,59.67,213.5,-3.58%,-4.53%,1.00%,3287110
18,19,AEE,0.45,1.48,2.07%,-2.60%,-2.13%,-13.79%,14.74%,51.8,84.08,0.13%,-0.07%,0.20%,2812984
19,20,AEG,1.16,0.1,2.55%,5.68%,1.63%,-15.74%,27.56%,57.01,4.79,-2.44%,-1.24%,-1.22%,1361677
20,21,AEM,0.79,1.32,-1.26%,-7.35%,2.30%,-16.60%,39.02%,41.26,51.0,1.15%,0.47%,0.67%,3136496
21,22,AEP,0.46,1.48,1.01%,-4.66%,-7.32%,-19.57%,5.77%,46.81,84.93,0.06%,0.06%,0.00%,5314597
22,23,AER,1.98,1.42,3.77%,7.39%,9.63%,-8.45%,64.52%,62.8,61.2,-0.67%,-1.40%,0.75%,1192506
23,24,AES,0.95,0.57,4.58%,-3.87%,-14.93%,-28.60%,14.12%,54.17,21.34,-0.70%,-0.97%,0.28%,12276062
24,25,AESC,-,1.48,3.70%,-2.61%,-10.95%,-20.50%,7.63%,54.8,83.04,-0.29%,-0.94%,0.65%,49825
25,26,AFL,0.94,1.2,3.79%,3.99%,4.45%,-6.19%,33.34%,62.21,69.43,-0.47%,-0.64%,0.17%,5584958
26,27,AGR,0.44,0.71,1.39%,-2.15%,-6.82%,-25.24%,5.03%,50.43,38.66,-0.18%,-0.59%,0.41%,893338
27,28,AIG,1.14,1.43,3.95%,7.54%,1.86%,-11.68%,25.49%,61.44,57.3,1.20%,0.77%,0.42%,10315800
28,29,AJG,0.71,3.38,3.16%,2.95%,11.23%,-2.49%,44.21%,63.84,213.78,0.07%,-1.03%,1.11%,1553878
29,30,AKAM,0.79,1.45,0.56%,7.33%,8.17%,-7.40%,29.51%,61.1,91.5,-0.62%,-0.94%,0.33%,3710643
30,31,ALB,1.57,7.61,7.61%,14.04%,-6.73%,-31.80%,32.80%,64.06,228.17,-1.19%,-1.38%,0.19%,2347804
31,32,ALC,-,1.24,2.57%,7.26%,17.43%,-0.99%,47.20%,64.21,81.27,0.47%,-0.20%,0.67%,929124
32,33,ALGN,1.61,10.27,10.22%,5.05%,25.26%,-10.46%,91.97%,65.61,330.29,-0.87%,-1.66%,0.80%,1257852
33,34,ALL,0.58,2.3,-1.04%,-2.79%,-10.74%,-21.79%,7.72%,44.7,111.17,0.57%,0.05%,0.52%,3777524
34,35,ALLE,1.12,2.54,7.30%,10.07%,11.37%,-4.07%,35.61%,68.73,118.43,-0.43%,-1.21%,0.79%,2881474
35,36,ALNY,0.49,5.12,5.32%,1.48%,-3.10%,-17.04%,56.50%,59.75,201.57,-0.38%,-1.05%,0.67%,847459
36,37,AMAT,1.57,3.57,3.93%,13.70%,28.82%,-2.53%,95.35%,65.81,138.93,-0.84%,-1.39%,0.56%,8842976
37,38,AMCR,0.86,0.19,3.36%,-1.13%,-8.30%,-22.59%,8.60%,57.6,10.35,0.68%,0.49%,0.19%,19427395
38,39,AMD,1.89,5.6,1.01%,17.03%,47.58%,-9.60%,120.05%,55.5,120.08,-3.35%,-4.58%,1.30%,81648013
39,40,AME,1.22,2.41,4.55%,8.35%,13.89%,-0.64%,46.85%,68.56,155.91,-0.50%,-1.70%,1.22%,1748880
40,41,AMGN,0.64,4.4,3.98%,-1.35%,-7.42%,-22.59%,8.48%,58.1,229.66,0.53%,-0.17%,0.70%,6760699
41,42,AMH,0.68,0.63,2.98%,4.77%,8.37%,-9.08%,22.98%,62.33,35.4,0.28%,-0.25%,0.54%,4753384
42,43,AMP,1.46,7.07,5.01%,6.85%,5.62%,-9.08%,47.73%,64.97,325.0,-0.18%,-1.52%,1.35%,936930
43,44,AMT,0.58,4.52,2.36%,-1.77%,-8.00%,-31.71%,8.26%,52.65,192.89,-0.71%,0.31%,-1.02%,3281162
44,45,AMX,0.91,0.55,0.27%,1.39%,11.89%,-4.55%,43.52%,50.73,22.02,-0.90%,-1.48%,0.59%,1114980
45,46,AMZN,1.25,3.3,3.15%,12.16%,20.33%,-14.38%,54.11%,62.52,125.49,-1.27%,-1.86%,0.60%,83469181
46,47,ANET,1.24,6.63,-0.85%,2.42%,16.84%,-11.53%,77.06%,49.58,157.79,-3.47%,-4.77%,1.36%,4497419
47,48,ANSS,1.24,7.55,4.76%,6.30%,23.62%,-1.26%,72.15%,64.13,334.37,-0.72%,-1.53%,0.81%,886679
48,49,AON,0.90,5.57,4.13%,1.91%,8.32%,-2.63%,33.78%,63.61,329.38,-0.51%,-1.10%,0.60%,1463286
49,50,AOS,1.27,1.43,4.43%,4.41%,15.37%,-1.21%,52.43%,62.04,71.0,0.69%,0.14%,0.55%,1763806
50,51,APA,3.51,1.35,2.99%,-1.85%,-14.05%,-32.03%,14.03%,53.58,34.38,-0.84%,-0.84%,0.00%,9091358
51,52,APD,0.87,5.48,5.44%,3.43%,4.23%,-10.77%,33.94%,64.52,293.17,0.83%,0.64%,0.19%,1809753
52,53,APH,1.24,1.38,6.33%,7.08%,7.26%,-0.86%,33.21%,69.46,82.15,0.34%,-0.45%,0.79%,3715840
53,54,APLS,1.23,3.17,0.55%,3.45%,38.98%,-5.78%,121.51%,52.51,89.27,-0.37%,-1.78%,1.44%,2001521
54,55,APO,1.69,1.55,11.40%,17.96%,23.10%,-0.54%,68.96%,79.66,77.08,-0.40%,-0.66%,0.26%,4105090
55,56,APTV,2.03,2.53,7.08%,3.22%,1.17%,-18.77%,30.12%,62.75,101.44,0.16%,0.19%,-0.03%,3239850
56,57,ARCC,-,0.26,-1.02%,1.09%,-0.18%,-9.70%,13.17%,48.22,18.68,0.16%,-0.53%,0.70%,8978360
57,58,ARE,0.95,3.23,-1.42%,-3.79%,-17.16%,-33.13%,4.35%,42.18,115.45,-4.70%,1.49%,-6.11%,2916077
58,59,ARES,1.33,2.13,6.48%,10.80%,21.67%,-0.92%,79.21%,69.3,94.43,-0.88%,-1.04%,0.16%,1798428
59,60,ARGX,0.72,8.09,-0.10%,1.33%,5.95%,-5.67%,22.34%,52.73,399.94,0.99%,0.24%,0.75%,187463
60,61,ARMK,1.62,0.8,1.67%,9.02%,6.71%,-11.35%,41.02%,61.84,40.53,0.77%,0.32%,0.45%,3285311
61,62,ASML,1.44,16.59,0.86%,7.27%,21.89%,-3.38%,98.78%,56.89,721.88,-2.28%,-1.30%,-0.99%,1336013
62,63,ASX,1.28,0.2,9.65%,18.01%,32.25%,-1.99%,98.88%,73.11,8.85,-1.01%,-0.56%,-0.45%,6981151
63,64,ATO,0.61,1.93,0.95%,1.01%,3.55%,-4.04%,19.74%,53.8,117.0,-0.42%,-0.55%,0.14%,1510044
64,65,ATVI,0.41,1.12,2.77%,1.96%,6.15%,-5.79%,15.55%,63.31,81.97,0.64%,0.77%,-0.14%,12232423
65,66,AU,0.69,0.71,-0.18%,-6.36%,22.82%,-20.17%,102.35%,43.91,24.16,-1.63%,-1.43%,-0.20%,4446923
66,67,AVB,0.94,3.09,6.75%,8.62%,9.80%,-12.69%,25.73%,76.59,192.45,1.01%,0.48%,0.52%,1635482
67,68,AVGO,1.11,27.11,11.09%,26.02%,49.80%,-5.82%,109.15%,74.06,868.11,-1.73%,-2.44%,0.73%,6824997
68,69,AVTR,1.31,0.6,-1.45%,-1.58%,-7.19%,-39.11%,11.39%,47.49,19.95,0.25%,-0.65%,0.90%,8557076
69,70,AVY,0.96,3.89,2.80%,-0.02%,-3.56%,-16.28%,12.84%,54.82,171.09,1.19%,0.76%,0.43%,921733
70,71,AWK,0.57,2.53,2.94%,1.12%,1.70%,-8.37%,21.35%,61.36,148.98,0.60%,0.56%,0.04%,2040747
71,72,AXON,0.91,5.44,3.33%,-3.02%,12.83%,-12.00%,143.78%,53.5,202.36,0.13%,-0.62%,0.76%,3199447
72,73,AXP,1.19,3.51,5.26%,7.90%,9.83%,-5.46%,31.81%,65.37,172.21,-0.92%,-1.14%,0.22%,4613584
73,74,AZN,0.53,1.13,2.50%,1.77%,13.15%,-1.75%,42.87%,59.17,75.22,0.80%,-0.24%,1.05%,4899807
74,75,AZO,0.68,55.94,2.31%,-3.00%,2.57%,-9.32%,27.26%,52.66,2493.83,-0.14%,-1.80%,1.69%,417251
75,76,AZPN,0.93,4.32,0.86%,-10.98%,-21.20%,-36.52%,3.67%,43.1,167.33,0.31%,-0.52%,0.84%,488136
76,77,BA,1.42,5.44,4.80%,6.32%,17.95%,-1.75%,81.82%,63.3,219.99,0.26%,-0.33%,0.60%,7771621
77,78,BABA,0.68,2.79,9.11%,5.51%,3.85%,-26.81%,58.77%,63.51,92.1,-0.11%,-1.83%,1.76%,24987197
78,79,BAC,1.38,0.68,1.82%,2.17%,-9.69%,-24.38%,10.90%,55.39,29.19,-0.61%,-1.18%,0.58%,51849290
79,80,BAH,0.59,1.92,8.92%,12.08%,10.58%,-3.50%,36.02%,75.88,108.61,1.15%,1.15%,0.00%,1171995
80,81,BALL,0.79,1.82,8.94%,8.84%,8.64%,-21.41%,27.02%,66.37,58.43,7.23%,8.81%,-1.45%,11536699
81,82,BAM,-,0.73,4.92%,3.48%,4.02%,-8.88%,24.29%,59.96,33.26,-1.77%,-1.89%,0.12%,2063425
82,83,BAP,0.98,3.19,9.14%,10.08%,9.72%,-6.07%,31.88%,72.51,149.29,0.60%,0.10%,0.50%,610284
83,84,BATRA,0.88,0.97,6.58%,7.72%,22.20%,-0.77%,68.01%,67.37,41.33,-0.12%,-1.01%,0.89%,184625
84,85,BATRK,-,1.05,5.17%,6.44%,19.93%,-1.63%,69.35%,63.64,39.73,-0.95%,-1.51%,0.57%,250946
85,86,BAX,0.59,1.08,7.79%,4.58%,-5.20%,-32.72%,21.46%,66.21,45.36,2.02%,0.20%,1.82%,7916070
86,87,BBD,-,0.09,6.39%,15.91%,17.88%,-11.25%,50.61%,70.97,3.51,-0.28%,0.00%,-0.28%,21857921
87,88,BBVA,1.27,0.16,6.51%,4.85%,18.60%,-6.05%,89.57%,62.6,7.45,0.81%,0.13%,0.68%,1079221
88,89,BBY,1.53,1.95,8.32%,8.79%,4.97%,-14.50%,31.27%,68.94,79.79,1.03%,0.72%,0.30%,6434063
89,90,BCE,0.63,0.54,-0.40%,-2.52%,-0.06%,-10.59%,14.59%,44.7,45.7,0.64%,0.48%,0.15%,1814152
90,91,BCH,0.39,0.5,-0.48%,1.05%,6.63%,-7.49%,35.87%,49.14,21.25,0.24%,-0.14%,0.38%,440888
91,92,BCS,1.38,0.16,0.86%,2.01%,2.41%,-15.95%,34.75%,53.88,7.93,0.13%,-0.13%,0.25%,8804747
92,93,BDX,0.57,4.09,3.90%,2.10%,5.81%,-3.88%,19.79%,62.65,258.63,0.96%,0.49%,0.48%,1481696
93,94,BEKE,-,0.79,7.49%,3.42%,3.43%,-19.45%,86.80%,56.67,16.98,-0.59%,-1.57%,1.00%,7937395
94,95,BEN,1.30,0.61,6.51%,4.90%,2.14%,-21.52%,33.27%,64.56,26.97,-1.21%,-1.06%,-0.15%,3236943
95,96,BF-A,-,1.19,3.43%,3.37%,0.35%,-12.65%,8.85%,58.64,66.91,-0.93%,-1.63%,0.71%,351009
96,97,BF-B,0.70,1.12,3.24%,2.72%,-1.20%,-16.31%,7.39%,58.42,65.4,0.31%,-0.32%,0.63%,2667339
97,98,BG,0.65,3.04,4.11%,4.14%,1.55%,-9.87%,19.92%,59.12,96.43,2.37%,1.37%,0.99%,2803253
